연도,지역,PM10(㎍/㎥),PM2.5(㎍/㎥),오존(ppm)
2010,서울,53.0,19.8,0.034
2010,부산,59.4,15.2,0.023
2010,대구,51.3,23.4,0.03
2010,광주,41.5,29.4,0.034
2010,대전,50.7,30.6,0.032
2010,인천,41.4,26.8,0.025
2010,울산,58.8,24.8,0.029
2010,세종,43.2,31.1,0.029
2011,서울,45.7,23.2,0.033
2011,부산,53.7,27.1,0.032
2011,대구,71.4,,0.027
2011,광주,41.9,28.1,0.036
2011,대전,48.9,20.8,0.026
2011,인천,56.5,28.7,0.033
2011,울산,43.3,26.2,0.031
2011,세종,52.2,29.4,0.031
2012,서울,56.8,25.3,0.031
2012,부산,56.3,,0.028
2012,대구,45.3,,0.029
2012,광주,64.9,20.7,0.035
2012,대전,33.2,23.3,0.031
2012,인천,55.9,28.6,0.034
2012,울산,46.5,22.7,0.034
2012,세종,48.1,18.6,0.024
2013,서울,40.8,27.5,0.031
2013,부산,56.9,22.9,0.031
2013,대구,56.3,23.5,0.032
2013,광주,43.4,23.2,0.028
2013,대전,38.0,27.4,0.028
2013,인천,50.1,27.4,0.032
2013,울산,56.7,24.5,0.028
2013,세종,49.2,16.6,0.023
2014,서울,36.8,20.0,0.032
2014,부산,40.9,23.1,0.036
2014,대구,46.4,28.7,0.025
2014,광주,47.9,20.2,0.028
2014,대전,58.4,,0.032
2014,인천,52.4,22.0,0.023
2014,울산,50.7,22.4,0.031
2014,세종,50.2,33.0,0.029
2015,서울,39.8,25.9,0.031
2015,부산,63.6,29.2,0.032
2015,대구,64.6,19.1,0.027
2015,광주,40.7,23.1,0.023
2015,대전,56.4,23.9,0.023
2015,인천,39.8,26.6,0.034
2015,울산,70.0,39.6,0.032
2015,세종,40.1,14.3,0.031
2016,서울,41.9,22.9,0.027
2016,부산,48.6,30.3,0.031
2016,대구,48.4,19.8,0.022
2016,광주,45.1,24.7,0.039
2016,대전,51.3,29.9,0.028
2016,인천,38.2,20.2,0.026
2016,울산,71.3,20.9,0.034
2016,세종,41.0,29.7,0.032
2017,서울,48.4,24.8,0.027
2017,부산,54.5,22.7,0.024
2017,대구,37.2,25.9,0.038
2017,광주,51.6,24.4,0.031
2017,대전,63.1,26.1,0.028
2017,인천,61.1,27.1,0.038
2017,울산,51.8,18.9,0.023
2017,세종,66.5,33.6,0.029
2018,서울,46.2,32.3,0.024
2018,부산,41.1,28.2,0.028
2018,대구,49.9,24.2,0.032
2018,광주,64.1,25.5,0.033
2018,대전,29.5,24.8,0.026
2018,인천,37.8,20.6,0.028
2018,울산,59.2,18.4,0.03
2018,세종,45.2,23.4,0.035
2019,서울,55.4,31.7,0.029
2019,부산,43.0,23.9,0.031
2019,대구,51.8,19.6,0.03
2019,광주,52.3,37.6,0.039
2019,대전,41.5,23.6,0.023
2019,인천,44.1,26.6,0.036
2019,울산,42.7,21.7,0.019
2019,세종,48.4,19.7,0.027
2020,서울,41.2,24.5,0.021
2020,부산,35.3,35.6,0.024
2020,대구,39.0,34.2,0.045
2020,광주,38.3,23.2,0.032
2020,대전,67.3,20.1,0.029
2020,인천,57.8,27.2,0.028
2020,울산,48.7,18.1,0.029
2020,세종,47.3,26.2,0.027
2021,서울,54.7,30.1,0.031
2021,부산,53.5,25.3,0.03
2021,대구,42.8,26.6,0.03
2021,광주,70.9,32.9,0.032
2021,대전,42.4,19.4,0.036
2021,인천,52.6,27.4,0.021
2021,울산,59.3,27.3,0.024
2021,세종,45.3,26.3,0.03
2022,서울,47.1,24.5,0.029
2022,부산,51.5,32.4,0.017
2022,대구,47.6,25.9,0.031
2022,광주,46.3,16.2,0.032
2022,대전,67.3,17.3,0.034
2022,인천,46.7,24.7,0.025
2022,울산,46.7,31.5,0.033
2022,세종,67.3,30.9,0.032
2023,서울,67.4,27.2,0.034
2023,부산,47.0,25.3,0.027
2023,대구,59.9,19.1,0.034
2023,광주,48.1,30.9,0.034
2023,대전,68.2,28.7,0.022
2023,인천,49.3,19.1,0.027
2023,울산,65.1,28.2,0.027
2023,세종,39.9,25.2,0.024
2024,서울,43.3,26.6,0.036
2024,부산,56.1,,0.032
2024,대구,50.7,27.1,0.038
2024,광주,29.4,22.0,0.033
2024,대전,34.2,32.4,0.032
2024,인천,58.5,22.1,0.034
2024,울산,60.7,26.2,0.031
2024,세종,52.7,20.7,0.029
