날짜,상품,지역,수량,단가,할인율,총금액
2024-01-02,D,서울,19.0,1854,0.29,25010
2024-01-02,B,대구,7.0,6249,,34556
2024-01-03,C,,7.0,1197,0.15,7122
2024-01-03,B,서울,10.0,1698,0.08,15621
2024-01-04,D,대구,6.0,1659,0.11,8859
2024-01-07,B,광주,1.0,2930,,2051
2024-01-08,C,광주,5.0,4304,0.16,18076
2024-01-09,D,서울,9.0,9800,0.01,87318
2024-01-09,B,대구,1.0,2986,0.16,2508
2024-01-11,C,대구,14.0,4581,0.21,50665
2024-01-11,D,서울,5.0,2291,0.16,9622
2024-01-12,A,광주,11.0,6791,0.12,65736
2024-01-14,D,광주,9.0,8098,0.22,56847
2024-01-15,B,서울,,9004,0.29,76714
2024-01-15,D,부산,1.0,8994,0.28,6475
2024-01-16,D,부산,6.0,3327,0.28,14372
2024-01-18,B,대구,7.0,3511,0.05,23348
2024-01-19,D,서울,,2853,0.22,6676
2024-01-21,D,대구,13.0,6172,0.25,60177
2024-01-21,D,광주,15.0,4763,0.25,53583
2024-01-21,C,부산,13.0,7287,0.05,89994
2024-01-22,C,대구,4.0,6535,0.27,19082
2024-01-22,D,광주,13.0,5737,0.3,52206
2024-01-23,A,서울,1.0,7585,0.06,7129
2024-01-24,B,광주,7.0,9164,0.17,53242
2024-01-24,D,대구,15.0,4696,0.15,59874
2024-01-24,C,서울,7.0,8554,0.07,55686
2024-01-25,B,서울,7.0,4510,0.28,22730
2024-01-25,A,부산,8.0,3811,0.22,23780
2024-01-26,C,,19.0,9338,,150808
2024-01-27,B,서울,,5218,0.2,8348
2024-01-28,B,대구,13.0,5389,0.11,62350
2024-01-29,B,광주,3.0,2998,0.03,8724
2024-01-30,B,광주,4.0,8392,0.06,31553
2024-02-02,B,서울,15.0,2707,0.26,30047
2024-02-05,B,서울,9.0,8280,0.05,70794
2024-02-06,D,광주,1.0,8125,0.13,7068
2024-02-07,B,대구,5.0,7528,0.08,34628
2024-02-08,A,,3.0,5282,0.15,13469
2024-02-08,C,광주,,6232,0.2,69798
2024-02-08,A,서울,8.0,1663,0.1,11973
2024-02-09,A,서울,15.0,2636,0.29,28073
2024-02-11,B,부산,10.0,9958,0.17,82651
2024-02-12,D,서울,3.0,2495,,6586
2024-02-13,D,대구,11.0,8777,0.09,87857
2024-02-13,B,,,5931,0.26,57056
2024-02-13,B,,17.0,6855,0.26,86235
2024-02-16,C,광주,12.0,3931,0.09,42926
2024-02-18,D,대구,19.0,1202,0.24,17356
2024-02-19,A,서울,5.0,7546,,34334
